"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","8242026017","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","8242029005","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","8264020047","Warehousing, Distribution, Storage","2010","1","30000"
"Existing","8264023018","Warehousing, Distribution, Storage","1997","1","30000"
"Existing","8378013069","Warehousing, Distribution, Storage","1994","1","30000"
"Existing","8378026012","Warehousing, Distribution, Storage","2005","1","30000"
"Existing","8430018015","Warehousing, Distribution, Storage","1987","1","30000"
"Existing","8432014019","Warehousing, Distribution, Storage","1987","1","30000"
"Existing","8437022008","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","8532015013","Warehousing, Distribution, Storage","1988","1","30000"
"Existing","8535002041","Warehousing, Distribution, Storage","1987","1","30000"
"Existing","8546031076","Warehousing, Distribution, Storage","1992","1","30000"
"Existing","8559002047","Warehousing, Distribution, Storage","1988","1","30000"
"Existing","8561021017","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","8605002198","Warehousing, Distribution, Storage","1997","1","30000"
"Existing","8605020400","Warehousing, Distribution, Storage","1988","1","30000"
"Existing","8615021013","Warehousing, Distribution, Storage","1981","1","30000"
"Existing","8707015064","Warehousing, Distribution, Storage","1987","1","30000"
"Existing","8707018003","Warehousing, Distribution, Storage","2001","1","30000"
"Existing","8710011040","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","8727012015","Warehousing, Distribution, Storage","1993","1","30000"
"Existing","8727012032","Warehousing, Distribution, Storage","1998","1","30000"
"Existing","8762002008","Warehousing, Distribution, Storage","1981","1","30000"
"Existing","8208008025","Warehousing, Distribution, Storage","1989","1","30000"
"Existing","187230017","warehouse/dry storage","1980","1","29000"
"Existing","909254008","warehouse/dry storage","1990","1","29000"
"Existing","909254006","warehouse/dry storage","1989","1","29000"
"Existing","115290020","warehouse/dry storage","1989","1","29000"
"Existing","115290041","warehouse/dry storage","1989","1","29000"
"Existing","115670028","ct-warehouse/cold storage","1990","1","29000"
"Existing","011327127","storage warehouse","1991","1","29000"
"Existing","013022226","storage warehouse","1980","1","29000"
"Existing","013719107","storage warehouse","1980","1","29000"
"Existing","014128208","storage warehouse","1980","1","29000"
"Existing","020941105","storage warehouse","2001","1","29000"
"Existing","020949186","storage warehouse","1998","1","29000"
"Existing","022911166","storage warehouse","2001","1","29000"
"Existing","022928423","storage warehouse","2007","1","29000"
"Existing","023615162","storage warehouse","1990","1","29000"
"Existing","023809175","distribution warehouse","1990","1","29000"
"Existing","023822130","storage warehouse","1988","1","29000"
"Existing","023704212","storage warehouse","2004","1","29000"
"Existing","023113142","storage warehouse","1985","1","29000"
"Existing","023113143","storage warehouse","1987","1","29000"
"Existing","028025158","storage warehouse","2004","1","29000"
"Existing","028009162","storage warehouse","1989","1","29000"
"Existing","039714322","storage warehouse","1980","1","29000"
"Existing","041527214","storage warehouse","1987","1","29000"
"Existing","047210153","storage warehouse","1980","1","29000"
"Existing","101602123","storage warehouse","1990","1","29000"
"Existing","101243127","storage warehouse","2005","1","29000"
"Existing","102113208","storage warehouse","2000","1","29000"
"Existing","102059131","storage warehouse","2009","1","29000"
"Existing","102157119","storage warehouse","1986","1","29000"
"Existing","102113207","storage warehouse","2004","1","29000"
"Existing","105512120","storage warehouse","2024","1","29000"
"Existing","105046117","storage warehouse","2017","1","29000"
"Existing","111015147","storage warehouse","2007","1","29000"
"Existing","2149005021","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","2320001012","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","2466021030","Warehousing, Distribution, Storage","2002","1","29000"
"Existing","2536016007","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","2689011020","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","2780001060","Warehousing, Distribution, Storage","2015","1","29000"
"Existing","2836066026","Warehousing, Distribution, Storage","2002","1","29000"
"Existing","2836069022","Warehousing, Distribution, Storage","2006","1","29000"
"Existing","2866018003","Warehousing, Distribution, Storage","1986","1","29000"
"Existing","2866036062","Warehousing, Distribution, Storage","2006","1","29000"
"Existing","3003080008","Warehousing, Distribution, Storage","1999","1","29000"
"Existing","3126027123","Warehousing, Distribution, Storage","2003","1","29000"
"Existing","3271025075","Warehousing, Distribution, Storage","1997","1","29000"
"Existing","3271027054","Warehousing, Distribution, Storage","2006","1","29000"
"Existing","4049007043","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","4126006018","Warehousing, Distribution, Storage","1986","1","29000"
"Existing","4138009012","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","4205022012","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","5130005014","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","5147003039","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","5168021010","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","5169003010","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","5173026005","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","5192029808","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","5243021023","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","5346030024","Warehousing, Distribution, Storage","1999","1","29000"
"Existing","5442010030","Warehousing, Distribution, Storage","1988","1","29000"
"Existing","6007005020","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6125001004","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6126005021","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6134018066","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6222001018","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6236034022","Warehousing, Distribution, Storage","1981","1","29000"
"Existing","6266011039","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6284024026","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6302010015","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6302018015","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6303024022","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6304014003","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6308001018","Warehousing, Distribution, Storage","1982","1","29000"
"Existing","6308001023","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6308003807","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6308005008","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6308015073","Warehousing, Distribution, Storage","2008","1","29000"
"Existing","6308015074","Warehousing, Distribution, Storage","2008","1","29000"
"Existing","6308016008","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6311025016","Warehousing, Distribution, Storage","1988","1","29000"
"Existing","6315001023","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6332005023","Warehousing, Distribution, Storage","1986","1","29000"
"Existing","6334026008","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6336007051","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6336010020","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6336014020","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6353015025","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6354027019","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6356016010","Warehousing, Distribution, Storage","1981","1","29000"
"Existing","6358020044","Warehousing, Distribution, Storage","1984","1","29000"
"Existing","6369004017","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6369012005","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","6382018028","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7001012044","Warehousing, Distribution, Storage","1999","1","29000"
"Existing","7001013092","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7003012010","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7010015009","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7011001019","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7022023012","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7157014024","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7211025028","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7318007036","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7318007059","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7318009069","Warehousing, Distribution, Storage","2007","1","29000"
"Existing","7319004047","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7352014046","Warehousing, Distribution, Storage","1985","1","29000"
"Existing","7352018064","Warehousing, Distribution, Storage","1990","1","29000"
"Existing","7352018065","Warehousing, Distribution, Storage","1990","1","29000"
"Existing","7377002096","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","7425040009","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","8005012016","Warehousing, Distribution, Storage","1987","1","29000"
"Existing","8005014044","Warehousing, Distribution, Storage","1987","1","29000"
"Existing","8009023041","Warehousing, Distribution, Storage","1990","1","29000"
"Existing","8009025062","Warehousing, Distribution, Storage","1989","1","29000"
"Existing","8011012061","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","8059005017","Warehousing, Distribution, Storage","1983","1","29000"
"Existing","8206020019","Warehousing, Distribution, Storage","1981","1","29000"
"Existing","8206027073","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","8242024082","Warehousing, Distribution, Storage","1997","1","29000"
"Existing","8242029018","Warehousing, Distribution, Storage","1980","1","29000"
"Existing","8247032016","Warehousing, Distribution, Storage","2001","1","29000"
"Existing","8264015058","Warehousing, Distribution, Storage","1991","1","29000"
"Existing","8348004021","Warehousing, Distribution, Storage","2005","1","29000"
"Existing","8528014086","Warehousing, Distribution, Storage","1983","1","29000"
